AGENCIA,AGENTE,SECCION_CENSAL,PROYECTO,DAT_ID,CUALI,PROVINCIA,MUNICIPIO,IDDIR,CALLE,NUMERO,DIRECCION,INFOBEL 2014
SOLIVESA, ,1100401024,,711000000105079,1 D     ,,ALGECIRAS,661202,AV ALEMANIA,1," esc , planta 1,puerta A",
SOLIVESA, ,1100401024,,711000000104771,1 C     ,,ALGECIRAS,661534,AV ALEMANIA,4," esc , planta 1,puerta F",
SOLIVESA, ,1100401024,,711000000105193,1 C     ,,ALGECIRAS,666080,AV ALEMANIA,2," esc , planta 5,puerta A",
SOLIVESA, ,2906709001,,851000000275486,2 D     ,,MALAGA,76042660,AV ANDALUCIA,15," esc , planta 6,puerta E",10
SOLIVESA, ,2906709001,,851000000275463,2 D     ,,MALAGA,26042637,AV ANDALUCIA,13," esc , planta 6,puerta J",6
SOLIVESA, ,2906709001,,851000000275444,2 D     ,,MALAGA,16042618,AV ANDALUCIA,11," esc , planta 6,puerta B2",24
SOLIVESA, ,2906709001,,851000000275645,2 D     ,,MALAGA,46042819,AV ANDALUCIA,21," esc , planta 9,puerta C",25
SOLIVESA, ,2906709001,,851000000275548,2 D     ,,MALAGA,66042722,AV ANDALUCIA,19," esc , planta 6,puerta B",18
SOLIVESA, ,2906709001,,851000000275510,2 D     ,,MALAGA,46042684,AV ANDALUCIA,17," esc , planta 6,puerta B",7
SOLIVESA, ,2906709003,,851000000275758,2 D     ,,MALAGA,96042932,AV ANDALUCIA,23," esc , planta 13,puerta D",17
SOLIVESA, ,1808707024,,851000000226699,2 C     ,,GRANADA,95993873,AV ANDALUCIA,91," esc , planta 2,puerta IZQ",0
SOLIVESA, ,1808707024,,851000000226679,2 D     ,,GRANADA,75993853,AV ANDALUCIA,85," esc , planta 2,puerta DCH",0
SOLIVESA, ,1808707024,,851000000226675,1 D     ,,GRANADA,35993849,AV ANDALUCIA,83," esc , planta 1,puerta IZQ",1
SOLIVESA, ,1808707024,,851000000226686,2 C     ,,GRANADA,55993860,AV ANDALUCIA,87," esc , planta 2,puerta IZQ",1
SOLIVESA, ,2305005001,,851000000153593,1 C     ,,JAEN,25920696,AV ANDALUCIA,9," esc , planta 4,puerta IZQ",4
SOLIVESA, ,2305005001,,851000005614506,1 E     ,,JAEN,29621487,AV ANDALUCIA,7," esc , planta 10,puerta C",8
SOLIVESA, ,2305005001,,851000000152267,1 D     ,,JAEN,85919370,AV ANDALUCIA,5," esc , planta 8,puerta IZQ",4
SOLIVESA, ,2305005001,,851000000151596,1 D     ,,JAEN,35918699,AV ANDALUCIA,3," esc , planta 9,puerta DCH",1
SOLIVESA, ,1808707024,,851000000226702,2 C     ,,GRANADA,35993876,AV ANDALUCIA,93," esc , planta 1,puerta IZQ",0
SOLIVESA, ,1808707024,,851000000226691,2 C     ,,GRANADA,15993865,AV ANDALUCIA,89," esc , planta 2,puerta DCH",1
SOLIVESA, ,2305005001,,851000000151274,1 D     ,,JAEN,55918377,AV ANDALUCIA,29," esc , planta BJ,puerta A",5
SOLIVESA, ,2305005001,,851000000151009,1 D     ,,JAEN,15918112,AV ANDALUCIA,1," esc , planta 4,puerta A",10
SOLIVESA, ,2305005001,,851000000151196,1 D     ,,JAEN,85918299,AV ANDALUCIA,25," esc , planta 8,puerta B",4
SOLIVESA, ,2305005001,,851000000151237,1 D     ,,JAEN,45918340,AV ANDALUCIA,27," esc , planta +1,puerta B",5
SOLIVESA, ,1808707014,,851000000226605,1 E     ,,GRANADA,55993779,AV ANDALUCIA,69," esc , planta 4,puerta C",0
SOLIVESA, ,1808707014,,851000000226621,0 C     ,,GRANADA,35993795,AV ANDALUCIA,75," esc , planta 2,puerta DCH",1
SOLIVESA, ,1808707014,,851000000226631,2 E     ,,GRANADA,45993805,AV ANDALUCIA,77," esc , planta BJ,puerta B",1
SOLIVESA, ,1808707014,,851000000226668,2 C     ,,GRANADA,55993842,AV ANDALUCIA,81," esc , planta BJ,puerta IZQ",0
SOLIVESA, ,1808707014,,851000000226634,1 E     ,,GRANADA,75993808,AV ANDALUCIA,79," esc , planta 00,puerta DR",2
SOLIVESA, ,1808707014,,851000000226608,0 C     ,,GRANADA,85993782,AV ANDALUCIA,71," esc , planta 1,puerta IZQ",1
SOLIVESA, ,1808707014,,851000000226593,1 D     ,,GRANADA,25993767,AV ANDALUCIA,67," esc , planta 2,puerta IZQ",1
SOLIVESA, ,1808707014,,851000000226618,2 D     ,,GRANADA,95993792,AV ANDALUCIA,73," esc , planta 1,puerta DCH",0
SOLIVESA, ,1808707023,,851000000226717,2 C     ,,GRANADA,95993891,AV ANDALUCIA,97," esc , planta 3,puerta C",5
SOLIVESA, ,1808707023,,851000000226779,2 D     ,,GRANADA,85993953,AV ANDALUCIA,99," esc , planta 9,puerta C",5
SOLIVESA, ,1808707028,,851000000226124,2 D     ,,GRANADA,15993298,AV ANDALUCIA,103," esc , planta 6,puerta A",4
SOLIVESA, ,1808707028,,851000000066564,2 F     ,,GRANADA,45833668,AV ANDALUCIA,103BIS,"BIS esc , planta 2,puerta C",
SOLIVESA, ,1808707028,,851000000066585,2 D     ,,GRANADA,75833689,AV ANDALUCIA,103BIS B-C," esc , planta 2,puerta C",
